REF_AREA_LABEL,TIME_PERIOD,INDICATOR_LABEL,OBS_VALUE
Armenia,2022,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.7799999999999999
Australia,1981,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.99
Australia,1985,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.0
Australia,1989,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.74
Australia,1995,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.75
Australia,2001,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.75
Australia,2003,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.0
Australia,2004,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.7100000000000001
Australia,2008,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.36
Australia,2010,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.35
Australia,2014,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.5
Australia,2016,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.5
Australia,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.5
Austria,1994,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.2299999999999999
Austria,1995,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Austria,1996,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Austria,1997,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.25
Austria,1998,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.24
Austria,1999,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.2299999999999999
Austria,2000,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Austria,2003,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.33
Austria,2004,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.08
Austria,2005,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.15
Austria,2006,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.09
Austria,2007,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.37
Austria,2008,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.47
Austria,2009,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.66
Austria,2010,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.49
Austria,2011,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.42
Austria,2012,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.62
Austria,2013,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.3399999999999999
Austria,2014,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.22
Austria,2015,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.6799999999999999
Austria,2016,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.66
Austria,2017,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.32
Austria,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.5700000000000001
Austria,2019,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.64
Austria,2020,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.6799999999999999
Austria,2021,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.49
Azerbaijan,1995,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",12.42
Azerbaijan,2001,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",6.16
Azerbaijan,2002,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.08
Azerbaijan,2003,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.05
Azerbaijan,2004,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Azerbaijan,2005,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Burundi,1992,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",75.06
Burundi,1998,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",79.44
Burundi,2006,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",71.84
Burundi,2013,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",65.13
Burundi,2020,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",62.07
Belgium,1985,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.24
Belgium,1988,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.48
Belgium,1992,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.98
Belgium,1995,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.41
Belgium,1997,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.49
Belgium,2000,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.31
Belgium,2003,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.29
Belgium,2004,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.05
Belgium,2005,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.19
Belgium,2006,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.1699999999999999
Belgium,2007,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.15
Belgium,2008,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.12
Belgium,2009,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.11
Belgium,2010,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.1399999999999999
Belgium,2011,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.1699999999999999
Belgium,2012,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.16
Belgium,2013,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.1399999999999999
Belgium,2014,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.08
Belgium,2015,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0699999999999999
Belgium,2016,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.06
Belgium,2017,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.15
Belgium,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.08
Belgium,2019,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.08
Belgium,2020,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.05
Belgium,2021,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.03
Benin,2003,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",53.09
Benin,2011,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",54.26
Benin,2015,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",50.71
Benin,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",20.08
Benin,2021,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",12.72
Burkina Faso,1994,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",82.08
Burkina Faso,1998,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",79.92
Burkina Faso,2003,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",54.7
Burkina Faso,2009,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",52.65
Burkina Faso,2014,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",39.6
Burkina Faso,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",31.2
Burkina Faso,2021,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",25.28
Bangladesh,1983,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",37.28
Bangladesh,1985,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",31.96
Bangladesh,1988,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",41.74
Bangladesh,1991,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",41.94
Bangladesh,1995,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",33.67
Bangladesh,2000,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",33.32
Bangladesh,2005,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",23.97
Bangladesh,2010,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",18.22
Bangladesh,2016,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",13.47
Bangladesh,2022,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.01
Bulgaria,1989,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Bulgaria,1992,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Bulgaria,1994,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Bulgaria,1995,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.21
Bulgaria,1997,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Bulgaria,2001,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",2.5700000000000003
Bulgaria,2003,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.93
Bulgaria,2006,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.83
Bulgaria,2007,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.5
Bulgaria,2007,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.79
Bulgaria,2008,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.25
Bulgaria,2009,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.31
Bulgaria,2010,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",2.01
Bulgaria,2011,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",2.46
Bulgaria,2012,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",2.31
Bulgaria,2013,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.78
Bulgaria,2014,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.66
Bulgaria,2015,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",3.42
Bulgaria,2016,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.97
Bulgaria,2017,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.37
Bulgaria,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.8699999999999999
Bulgaria,2019,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.92
Bulgaria,2020,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.25
Bulgaria,2021,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.7000000000000001
Bosnia and Herzegovina,2001,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.33
Bosnia and Herzegovina,2004,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.18
Bosnia and Herzegovina,2007,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0699999999999999
Bosnia and Herzegovina,2011,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0699999999999999
Belarus,1993,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Belarus,1995,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Belarus,1998,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",21.76
Belarus,1999,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",19.19
Belarus,2000,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",13.64
Belarus,2001,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",6.619999999999999
Belarus,2002,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",4.390000000000001
Belarus,2003,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",3.51
Belarus,2004,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.3
Belarus,2005,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.89
Belarus,2006,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.4
Belarus,2007,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.22
Belarus,2008,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.1699999999999999
Belarus,2009,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.1399999999999999
Belarus,2010,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.03
Belarus,2011,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.01
Belarus,2012,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.01
Belarus,2013,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Belarus,2014,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Belarus,2015,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Belarus,2016,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Belarus,2017,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Belarus,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Belarus,2019,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Belarus,2020,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Belize,1993,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",13.55
Belize,1994,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",14.79
Belize,1995,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",15.27
Belize,1996,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",18.2
Belize,1997,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",20.9
Belize,1998,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",20.73
Belize,1999,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",19.56
Bolivia,1990,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.08
Bolivia,1992,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",8.74
Bolivia,1997,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",15.54
Bolivia,1999,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",21.88
Bolivia,2000,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",24.25
Bolivia,2001,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",19.03
Bolivia,2002,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",19.69
Bolivia,2004,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",10.22
Bolivia,2005,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",15.61
Bolivia,2006,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",12.49
Bolivia,2007,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",9.47
Bolivia,2008,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",8.34
Bolivia,2009,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",8.780000000000001
Bolivia,2011,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.3
Bolivia,2012,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",6.47
Bolivia,2013,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.17
Bolivia,2014,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",4.279999999999999
Bolivia,2015,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",4.63
Bolivia,2016,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.62
Bolivia,2017,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",4.93
Bolivia,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",3.27
Bolivia,2019,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.92
Bolivia,2020,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",3.12
Bolivia,2021,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.96
Brazil,1981,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",23.95
Brazil,1982,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",24.42
Brazil,1983,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",30.58
Brazil,1984,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",29.92
Brazil,1985,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",25.75
Brazil,1986,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",12.27
Brazil,1987,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",19.950000000000003
Brazil,1988,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",22.42
Brazil,1989,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",20.4
Brazil,1990,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",23.99
Brazil,1992,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",23.29
Brazil,1993,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",22.1
Brazil,1995,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",14.74
Brazil,1996,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",16.0
Brazil,1997,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",15.98
Brazil,1998,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",14.34
Brazil,1999,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",14.97
Brazil,2001,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",13.04
Brazil,2002,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",11.74
Brazil,2003,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",12.61
Brazil,2004,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",11.06
Brazil,2005,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",9.96
Brazil,2006,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",8.260000000000002
Brazil,2007,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",7.870000000000001
Brazil,2008,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",6.510000000000001
Brazil,2009,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",6.12
Brazil,2011,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.319999999999999
Brazil,2012,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",4.49
Brazil,2013,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",3.73
Brazil,2014,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",3.3300000000000005
Brazil,2015,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",3.88
Brazil,2016,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",4.73
Brazil,2017,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.3
Brazil,2018,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.3100000000000005
Brazil,2019,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.41
Brazil,2020,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.95
Brazil,2021,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.83
Brazil,2022,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",3.51
Bhutan,2003,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",13.36
Bhutan,2007,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",5.8500000000000005
Bhutan,2012,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.73
Bhutan,2017,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.95
Bhutan,2022,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.0
Botswana,1985,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",41.79
Botswana,1993,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",34.1
Botswana,2002,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",29.14
Botswana,2009,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",17.69
Botswana,2015,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",15.43
Central African Republic,1992,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",82.17999999999999
Central African Republic,2008,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",61.88
Central African Republic,2021,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",65.67
Canada,1971,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",2.25
Canada,1973,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.7500000000000002
Canada,1975,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.49
Canada,1977,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.25
Canada,1979,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.25
Canada,1981,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.75
Canada,1982,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.74
Canada,1984,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.75
Canada,1985,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.5
Canada,1986,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.0
Canada,1987,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.5
Canada,1988,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",0.75
Canada,1989,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.25
Canada,1990,"Poverty headcount ratio (2017 PPP, $2.15) (% of population)",1.25
